'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M4', 16, 14
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M5', 20, 16
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M5', 25, 16
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M6', 20, 18
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M6', 20, 18
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M6', 30, 18
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M8', 35, 22
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M8', 35, 22
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M8', 35, 22
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M8', 40, 22
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M10', 50, 26
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M10', 55, 26
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M10', 60, 26
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M10', 60, 26
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M12', 65, 30
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M12', 65, 30
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M12', 70, 30
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M16', 70, 38
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M16', 70, 38
'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'Belso kulcsnyilasu alacsony hengeresfeju csavar', 'M20', 90, 46

'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M3', 30, 18
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M4', 40, 20
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M4', 40, 20
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M5', 45, 22
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M5', 45, 22
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M5', 50, 22
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M6', 40, 24
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M6', 50, 24
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M6', 60, 24
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M6', 60, 24
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M8', 50, 28
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M8', 60, 28
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M8', 70, 28
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M8', 80, 28
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M10', 70, 32
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M10', 80, 32
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M10', 90, 32
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M12', 80, 36
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M12', 90, 36
'Belso kulcsnyilasu süllyesztettfeju csavar', 'Belso kulcsnyilasu süllyesztettfeju csavar', 'M16', 90, 44

'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M3', 20, 12
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M4', 30, 14
'D-feju egyenes hornyos csavar', 'D-feju egyenes hornyos csavar', 'M4', 35, 14
